2026-05-17 01:46:55.060 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 01:51:44.989 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 01:51:45.037 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 01:57:17.758 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 01:57:17.855 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 02:03:16.429 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 02:03:16.501 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 02:11:28.365 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 02:11:28.468 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 02:11:29.498 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 02:11:29.515 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 03:36:27.932 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 03:36:28.007 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 03:44:55.292 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 03:44:55.383 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 03:44:56.829 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 03:44:56.845 | INFO     | Sobrevivencia.main:run:169 - Loop running... State: start
2026-05-17 04:02:58.440 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:02:58.495 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:02:59.647 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:15:06.523 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:15:06.559 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:15:07.177 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:15:08.178 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:15:11.335 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:15:11.335 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:15:11.368 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:15:11.368 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:19:20.023 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:19:20.061 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:19:21.382 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:19:21.398 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:22:09.640 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:22:09.723 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:22:10.367 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:23:42.318 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:23:42.318 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:23:42.364 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:23:42.364 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:31:08.273 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:31:08.308 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 04:31:09.209 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:31:09.226 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 04:32:54.958 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 04:32:55.028 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
